测试集名称	故障类型
test0128	outer_missing
test0129	normal
test0130	roller_wear
test0131	roller_wear
test0132	roller_wear
test0133	normal
test0134	inner_broken
test0135	normal
test0136	roller_wear
test0137	roller_wear
test0138	outer_missing
test0139	roller_wear
test0140	roller_broken
test0141	normal
test0142	roller_wear
test0143	inner_wear
test0144	normal
test0145	roller_wear
test0146	roller_broken
test0147	roller_broken
test0148	roller_broken
test0149	roller_wear
test0150	roller_broken
test0151	inner_broken
test0152	inner_broken
test0153	roller_wear
test0154	roller_broken
test0155	normal
test0156	roller_broken
test0157	normal
test0158	outer_missing
test0159	roller_wear
test0160	inner_broken
test0161	outer_missing
test0162	inner_broken
test0163	roller_broken
test0164	outer_missing
test0165	normal
test0166	inner_wear
test0167	roller_broken
test0168	outer_missing
test0169	roller_broken
test0170	outer_missing
test0171	outer_missing
test0172	normal
test0173	normal
test0174	outer_missing
test0175	roller_broken
test0176	outer_missing
test0177	roller_wear
test0178	normal
test0179	roller_wear
test0180	outer_missing
test0181	roller_wear
test0182	outer_missing
test0183	roller_wear
test0184	roller_wear
test0185	outer_missing
test0186	roller_wear
test0187	normal
test0188	roller_broken
test0189	normal
test0190	roller_broken
test0191	roller_wear
test0192	outer_missing
test0193	inner_wear
test0194	normal
test0195	roller_wear
test0196	inner_broken
test0197	roller_broken
test0198	roller_broken
test0199	roller_wear
test0200	inner_wear
test0201	roller_broken
test0202	normal
test0203	normal
test0204	normal
test0205	roller_wear
test0206	outer_missing
test0207	roller_wear
test0208	roller_wear
test0209	roller_wear
test0210	roller_wear
test0211	inner_wear
test0212	inner_wear
test0213	outer_missing
test0214	roller_broken
test0215	normal
test0216	roller_broken
test0217	roller_wear
test0218	normal
test0219	normal
test0220	roller_broken
test0221	inner_wear
test0222	normal
test0223	outer_missing
test0224	outer_missing
test0225	roller_wear
test0226	outer_missing
test0227	normal
test0228	roller_broken
test0229	inner_wear
test0230	outer_missing
test0231	normal
test0232	outer_missing
test0233	outer_missing
test0234	inner_wear
test0235	roller_wear
test0236	inner_wear
test0237	outer_missing
test0238	outer_missing
test0239	outer_missing
test0240	outer_missing
test0241	outer_missing
test0242	inner_wear
test0243	normal
test0244	normal
test0245	outer_missing
test0246	inner_wear
test0247	outer_missing
test0248	normal
test0249	inner_wear
test0250	normal
test0251	roller_wear
test0252	inner_wear
test0253	roller_wear
test0254	inner_wear
test0255	outer_missing
test0256	inner_broken
test0257	roller_wear
test0258	outer_missing
test0259	outer_missing
test0260	normal
test0261	roller_broken
test0262	outer_missing
test0263	normal
test0264	roller_wear
test0265	roller_wear
test0266	outer_missing
test0267	outer_missing
test0268	outer_missing
test0269	outer_missing
test0270	normal
test0271	roller_broken
test0272	outer_missing
test0273	inner_wear
test0274	inner_wear
test0275	outer_missing
test0276	inner_wear
test0277	inner_wear
test0278	normal
test0279	normal
test0280	roller_wear
test0281	normal
test0282	normal
test0283	outer_missing
test0284	outer_missing
test0285	roller_broken
test0286	roller_wear
test0287	roller_broken
test0288	inner_wear
test0289	inner_wear
test0290	roller_wear
test0291	roller_wear
test0292	roller_wear
test0293	outer_missing
test0294	roller_broken
test0295	outer_missing
test0296	inner_broken
test0297	roller_broken
test0298	roller_wear
test0299	outer_missing
test0300	inner_wear
test0301	roller_wear
test0302	normal
test0303	outer_missing
test0304	roller_wear
test0305	roller_broken
test0306	inner_wear
test0307	roller_broken
test0308	outer_missing
test0309	outer_missing
test0310	inner_wear
test0311	inner_broken
test0312	outer_missing
test0313	inner_wear
test0314	normal
test0315	inner_wear
test0316	roller_wear
test0317	outer_missing
test0318	roller_broken
test0319	outer_missing
test0320	normal
test0321	roller_broken
test0322	roller_wear
test0323	inner_wear
test0324	inner_wear
test0325	inner_broken
test0326	normal
test0327	outer_missing
test0328	normal
test0329	roller_wear
test0330	roller_broken
test0331	normal
test0332	outer_missing
test0333	roller_wear
test0334	normal
test0335	inner_broken
test0336	normal
test0337	roller_wear
test0338	roller_wear
test0339	roller_broken
test0340	roller_wear
test0341	roller_wear
test0342	roller_wear
test0343	normal
test0344	normal
test0345	outer_missing
test0346	inner_broken
test0347	inner_wear
test0348	outer_missing
test0349	roller_wear
test0350	inner_wear
test0351	inner_wear
test0352	roller_wear
test0353	roller_wear
test0354	outer_missing
test0355	roller_wear
test0356	normal
test0357	normal
test0358	roller_wear
test0359	roller_broken
test0360	roller_broken
test0361	outer_missing
test0362	roller_wear
test0363	inner_wear
test0364	normal
test0365	normal
test0366	normal
test0367	roller_broken
test0368	roller_wear
test0369	normal
test0370	roller_broken
test0371	outer_missing
test0372	inner_wear
test0373	roller_wear
test0374	inner_wear
test0375	roller_wear
test0376	normal
test0377	inner_wear
test0378	roller_wear
test0379	roller_wear
test0380	roller_wear
test0381	outer_missing
test0382	outer_missing
test0383	normal
test0384	roller_broken
test0385	roller_wear
test0386	normal
test0387	roller_broken
test0388	outer_missing
test0389	inner_broken
test0390	roller_wear
test0391	normal
test0392	inner_wear
test0393	inner_broken
test0394	roller_wear
test0395	roller_wear
test0396	outer_missing
test0397	normal
test0398	roller_wear
test0399	roller_wear
test0400	roller_wear
test0401	inner_wear
test0402	outer_missing
test0403	outer_missing
test0404	normal
test0405	outer_missing
test0406	outer_missing
test0407	inner_broken
test0408	roller_wear
test0409	normal
test0410	outer_missing
test0411	roller_wear
test0412	roller_broken
test0413	inner_broken
test0414	roller_wear
test0415	outer_missing
test0416	inner_broken
test0417	roller_broken
test0418	normal
test0419	outer_missing
test0420	inner_wear
test0421	roller_broken
test0422	normal
test0423	normal
test0424	roller_broken
test0425	roller_broken
test0426	normal
test0427	roller_wear
test0428	roller_wear
test0429	roller_broken
test0430	roller_wear
test0431	inner_broken
test0432	roller_broken
test0433	outer_missing
test0434	roller_broken
test0435	normal
test0436	inner_wear
test0437	roller_wear
test0438	roller_wear
test0439	normal
test0440	normal
test0441	outer_missing
test0442	outer_missing
test0443	inner_broken
test0444	normal
test0445	normal
test0446	roller_broken
test0447	inner_broken
test0448	normal
test0449	roller_wear
test0450	outer_missing
test0451	roller_wear
test0452	inner_wear
test0453	inner_broken
test0454	roller_wear
test0455	roller_broken
test0456	outer_missing
test0457	inner_broken
test0458	outer_missing
test0459	roller_broken
test0460	roller_wear
test0461	outer_missing
test0462	roller_wear
test0463	inner_broken
test0464	roller_broken
test0465	outer_missing
test0466	normal
test0467	roller_broken
test0468	roller_broken
test0469	roller_broken
test0470	roller_wear
test0471	normal
test0472	roller_broken
test0473	inner_broken
test0474	normal
test0475	roller_broken
test0476	outer_missing
test0477	roller_wear
test0478	normal
test0479	normal
test0480	inner_broken
test0481	outer_missing
test0482	outer_missing
test0483	outer_missing
test0484	roller_broken
test0485	outer_missing
test0486	roller_wear
test0487	outer_missing
test0488	roller_broken
test0489	inner_wear
test0490	inner_wear
test0491	roller_wear
test0492	outer_missing
test0493	normal
test0494	roller_broken
test0495	roller_wear
test0496	normal
test0497	roller_wear
test0498	inner_broken
test0499	roller_wear
test0500	roller_wear
test0501	normal
test0502	roller_broken
test0503	outer_missing
test0504	normal
test0505	inner_wear
test0506	outer_missing
test0507	roller_wear
test0508	normal
test0509	roller_broken
test0510	roller_broken
test0511	normal
test0512	inner_broken
test0513	outer_missing
test0514	roller_broken
test0515	outer_missing
test0516	roller_broken
test0517	inner_wear
test0518	outer_missing
test0519	roller_wear
test0520	normal
test0521	inner_broken
test0522	inner_wear
test0523	inner_broken
test0524	roller_wear
test0525	outer_missing
test0526	inner_wear
test0527	outer_missing
test0528	roller_wear
test0529	inner_broken
test0530	inner_wear
test0531	roller_broken
test0532	inner_broken
test0533	inner_wear
test0534	outer_missing
test0535	normal
test0536	normal
test0537	roller_wear
test0538	roller_broken
test0539	normal
test0540	normal
test0541	roller_wear
test0542	normal
test0543	outer_missing
test0544	inner_broken
test0545	roller_broken
test0546	roller_broken
test0547	roller_broken
test0548	normal
test0549	outer_missing
test0550	roller_wear
test0551	normal
test0552	roller_wear
test0553	roller_wear
test0554	roller_broken
test0555	inner_broken
test0556	inner_wear
test0557	roller_broken
test0558	roller_wear
test0559	roller_broken
test0560	normal
test0561	roller_wear
test0562	roller_wear
test0563	inner_broken
test0564	inner_wear
test0565	roller_wear
test0566	normal
test0567	roller_broken
test0568	inner_wear
test0569	roller_wear
test0570	roller_broken
test0571	outer_missing
test0572	normal
test0573	outer_missing
test0574	inner_broken
test0575	roller_wear
test0576	normal
test0577	roller_broken
test0578	roller_wear
test0579	normal
test0580	inner_broken
test0581	outer_missing
test0582	normal
test0583	outer_missing
test0584	roller_broken
test0585	outer_missing
test0586	roller_broken
test0587	inner_broken
test0588	normal
test0589	outer_missing
test0590	roller_wear
test0591	outer_missing
test0592	roller_wear
test0593	normal
test0594	roller_wear
test0595	inner_broken
test0596	roller_wear
test0597	roller_wear
test0598	normal
test0599	normal
test0600	outer_missing
test0601	inner_wear
test0602	normal
test0603	normal
test0604	roller_wear
test0605	inner_wear
test0606	normal
test0607	inner_wear
test0608	normal
test0609	roller_wear
test0610	inner_wear
test0611	roller_broken
test0612	inner_broken
test0613	normal
test0614	inner_wear
test0615	inner_wear
test0616	inner_wear
test0617	roller_wear
test0618	roller_broken
test0619	roller_broken
test0620	roller_broken
test0621	outer_missing
test0622	roller_wear
test0623	normal
test0624	roller_wear
test0625	normal
test0626	inner_broken
test0627	outer_missing
test0628	normal
test0629	roller_wear
test0630	inner_wear
test0631	inner_wear
test0632	inner_wear
test0633	outer_missing
test0634	roller_broken
test0635	normal
test0636	roller_wear
test0637	roller_wear
test0638	outer_missing
test0639	outer_missing
test0640	roller_wear
test0641	roller_broken
test0642	normal
test0643	inner_wear
test0644	outer_missing
test0645	inner_wear
test0646	inner_wear
test0647	roller_broken
test0648	roller_broken
test0649	inner_wear
test0650	roller_broken
test0651	roller_broken
test0652	roller_broken
test0653	inner_wear
test0654	roller_wear
test0655	inner_wear
test0656	roller_wear
test0657	normal
test0658	roller_wear
test0659	roller_wear
test0660	roller_broken
test0661	outer_missing
test0662	inner_wear
test0663	inner_wear
test0664	outer_missing
test0665	normal
test0666	roller_wear
test0667	inner_wear
test0668	roller_wear
test0669	roller_broken
test0670	roller_wear
test0671	outer_missing
test0672	inner_broken
test0673	roller_wear
test0674	outer_missing
test0675	normal
test0676	roller_wear
test0677	outer_missing
test0678	inner_broken
test0679	roller_wear
test0680	roller_wear
test0681	normal
test0682	inner_broken
test0683	roller_broken
test0684	roller_broken
test0685	outer_missing
test0686	normal
test0687	normal
test0688	roller_broken
test0689	roller_wear
test0690	normal
test0691	roller_wear
test0692	roller_broken
test0693	normal
test0694	outer_missing
test0695	inner_wear
test0696	roller_wear
test0697	normal
test0698	roller_broken
test0699	roller_broken
test0700	outer_missing
test0701	roller_wear
test0702	inner_wear
test0703	outer_missing
test0704	normal
test0705	outer_missing
test0706	roller_broken
test0707	normal
test0708	roller_broken
test0709	normal
test0710	inner_wear
test0711	outer_missing
test0712	roller_broken
test0713	roller_wear
test0714	normal
test0715	inner_broken
test0716	roller_wear
test0717	normal
test0718	roller_wear
test0719	outer_missing
test0720	normal
test0721	roller_wear
test0722	roller_wear
test0723	normal
test0724	inner_wear
test0725	inner_broken
test0726	roller_wear
test0727	roller_wear
test0728	outer_missing
test0729	normal
test0730	roller_wear
test0731	inner_broken
test0732	roller_broken
test0733	roller_wear
test0734	roller_broken
test0735	normal
test0736	inner_broken
test0737	normal
test0738	roller_wear
test0739	normal
test0740	normal
test0741	normal
test0742	outer_missing
test0743	inner_broken
test0744	roller_wear
test0745	roller_broken
test0746	inner_broken
test0747	outer_missing
test0748	normal
test0749	inner_broken
test0750	inner_broken
test0751	roller_broken
test0752	normal
test0753	normal
test0754	roller_wear
test0755	inner_broken
test0756	roller_wear
test0757	roller_broken
test0758	roller_wear
test0759	normal
test0760	normal
test0761	inner_wear
test0762	outer_missing
test0763	outer_missing
test0764	normal
test0765	outer_missing
test0766	inner_broken
test0767	roller_wear
test0768	inner_broken
test0769	roller_broken
test0770	inner_broken
test0771	inner_broken
test0772	normal
test0773	roller_broken
test0774	roller_wear
test0775	outer_missing
test0776	normal
test0777	normal
test0778	roller_wear
test0779	inner_wear
test0780	normal
test0781	outer_missing
test0782	outer_missing
test0783	roller_wear
test0784	roller_wear
test0785	roller_broken
test0786	outer_missing
test0787	normal
test0788	inner_broken
test0789	normal
test0790	inner_broken
test0791	normal
test0792	roller_broken
test0793	roller_wear
test0794	normal
test0795	normal
test0796	roller_broken
test0797	roller_broken
test0798	roller_wear
test0799	normal
test0800	inner_broken
test0801	outer_missing
test0802	roller_broken
test0803	roller_wear
test0804	normal
test0805	inner_broken
test0806	roller_broken
test0807	normal
test0808	outer_missing
test0809	inner_wear
test0810	outer_missing
test0811	inner_wear
test0812	outer_missing
test0813	roller_broken
test0814	outer_missing
test0815	inner_wear
test0816	inner_wear
test0817	outer_missing
test0818	outer_missing
test0819	roller_wear
test0820	roller_wear
test0821	roller_broken
test0822	inner_broken
test0823	normal
test0824	roller_wear
test0825	outer_missing
test0826	outer_missing
test0827	roller_broken
test0828	normal
test0829	outer_missing
test0830	outer_missing
test0831	outer_missing
test0832	roller_broken
test0833	normal
test0834	inner_wear
test0835	normal
test0836	inner_wear
test0837	outer_missing
test0838	outer_missing
test0839	inner_wear
test0840	roller_wear
test0841	outer_missing
test0842	outer_missing
test0843	roller_broken
test0844	normal
test0845	roller_wear
test0846	roller_broken
test0847	inner_wear
test0848	normal
test0849	normal
test0850	inner_broken
test0851	inner_wear
test0852	roller_wear
test0853	normal
test0854	outer_missing
test0855	roller_wear
test0856	inner_broken
test0857	outer_missing
test0858	inner_wear
test0859	outer_missing
test0860	roller_broken
test0861	roller_wear
test0862	inner_wear
test0863	outer_missing
test0864	outer_missing
test0865	roller_broken
test0866	roller_broken
test0867	inner_wear
test0868	outer_missing
test0869	inner_wear
test0870	inner_wear
test0871	roller_broken
test0872	normal
test0873	roller_wear
test0874	roller_broken
test0875	roller_wear
test0876	roller_wear
test0877	inner_wear
test0878	inner_broken
test0879	outer_missing
test0880	roller_broken
test0881	roller_wear
test0882	roller_wear
test0883	inner_broken
test0884	outer_missing
test0885	inner_wear
test0886	normal
test0887	inner_wear
test0888	outer_missing
test0889	outer_missing
test0890	normal
test0891	outer_missing
test0892	outer_missing
test0893	outer_missing
test0894	roller_wear
test0895	roller_wear
test0896	roller_wear
test0897	roller_wear
test0898	roller_wear
test0899	normal
test0900	normal
test0901	normal
test0902	inner_wear
test0903	roller_wear
test0904	inner_broken
test0905	outer_missing
test0906	inner_wear
test0907	inner_wear
test0908	normal
test0909	normal
test0910	inner_broken
test0911	outer_missing
test0912	roller_wear
test0913	normal
test0914	normal
test0915	inner_broken
test0916	normal
test0917	inner_wear
test0918	normal
test0919	roller_wear
test0920	roller_wear
test0921	roller_broken
test0922	normal
test0923	roller_wear
test0924	outer_missing
test0925	outer_missing
test0926	normal
test0927	outer_missing
test0928	roller_broken
test0929	normal
test0930	roller_wear
test0931	roller_wear
test0932	roller_wear
test0933	inner_broken
test0934	outer_missing
test0935	outer_missing
test0936	roller_wear
test0937	inner_wear
test0938	normal
test0939	inner_wear
test0940	inner_wear
test0941	outer_missing
test0942	roller_broken
test0943	roller_broken
test0944	normal
test0945	outer_missing
test0946	normal
test0947	roller_wear
test0948	inner_broken
test0949	outer_missing
test0950	inner_wear
test0951	outer_missing
test0952	roller_broken
test0953	roller_wear
test0954	normal
test0955	outer_missing
test0956	outer_missing
test0957	normal
test0958	inner_wear
test0959	inner_wear
test0960	roller_wear
test0961	roller_broken
test0962	roller_broken
test0963	outer_missing
test0964	roller_wear
test0965	roller_broken
test0966	roller_wear
test0967	roller_broken
test0968	normal
test0969	outer_missing
test0970	outer_missing
test0971	roller_wear
test0972	roller_wear
test0973	roller_wear
test0974	roller_wear
test0975	roller_wear
test0976	normal
test0977	outer_missing
test0978	normal
test0979	inner_wear
test0980	inner_wear
test0981	roller_wear
test0982	roller_wear
test0983	outer_missing
test0984	normal
test0985	normal
test0986	outer_missing
test0987	normal
test0988	inner_wear
test0989	outer_missing
test0990	roller_wear
test0991	outer_missing
test0992	inner_broken
test0993	roller_wear
test0994	roller_broken
test0995	roller_wear
test0996	roller_wear
test0997	normal
test0998	outer_missing
test0999	inner_broken
test1000	roller_wear
test1001	normal
test1002	outer_missing
test1003	normal
test1004	roller_wear
test1005	inner_broken
test1006	roller_wear
test1007	roller_wear
test1008	outer_missing
test1009	outer_missing
test1010	outer_missing
test1011	outer_missing
test1012	normal
test1013	roller_broken
test1014	roller_broken
test1015	normal
test1016	outer_missing
test1017	roller_wear
test1018	inner_wear
test1019	outer_missing
test1020	roller_wear
test1021	normal
test1022	outer_missing
test1023	inner_broken
test1024	roller_wear
test1025	roller_wear
test1026	outer_missing
test1027	roller_wear
test1028	normal
test1029	roller_wear
test1030	roller_wear
test1031	inner_wear
test1032	outer_missing
test1033	normal
test1034	roller_broken
test1035	roller_broken
test1036	outer_missing
test1037	roller_broken
test1038	roller_wear
test1039	normal
test1040	normal
test1041	inner_wear
test1042	roller_wear
test1043	outer_missing
test1044	roller_wear
test1045	inner_wear
test1046	roller_broken
test1047	normal
test1048	normal
test1049	outer_missing
test1050	normal
test1051	outer_missing
test1052	inner_wear
test1053	roller_broken
test1054	outer_missing
test1055	outer_missing
test1056	roller_broken
test1057	normal
test1058	normal
test1059	roller_wear
test1060	normal
test1061	outer_missing
test1062	roller_wear
test1063	roller_broken
test1064	roller_broken
test1065	outer_missing
test1066	roller_broken
test1067	roller_wear
test1068	normal
test1069	roller_broken
test1070	roller_broken
test1071	outer_missing
test1072	outer_missing
test1073	inner_broken
test1074	outer_missing
test1075	outer_missing
test1076	inner_wear
test1077	normal
test1078	outer_missing
test1079	roller_broken
test1080	normal
test1081	outer_missing
test1082	normal
test1083	inner_wear
test1084	roller_broken
test1085	normal
test1086	normal
test1087	roller_broken
test1088	inner_wear
test1089	inner_wear
test1090	outer_missing
test1091	roller_broken
test1092	inner_wear
test1093	inner_wear
test1094	roller_wear
test1095	roller_broken
test1096	inner_broken
test1097	outer_missing
test1098	normal
test1099	normal
test1100	roller_wear
test1101	inner_wear
test1102	outer_missing
test1103	roller_wear
test1104	inner_broken
test1105	inner_wear
test1106	roller_broken
test1107	outer_missing
test1108	inner_wear
test1109	roller_wear
test1110	roller_broken
test1111	roller_wear
test1112	normal
test1113	normal
test1114	roller_broken
test1115	inner_wear
test1116	outer_missing
test1117	roller_wear
test1118	outer_missing
test1119	roller_wear
test1120	inner_broken
test1121	normal
test1122	normal
test1123	outer_missing
test1124	roller_wear
test1125	roller_wear
test1126	roller_wear
test1127	inner_wear
test1128	roller_wear
test1129	inner_wear
test1130	inner_broken
test1131	roller_wear
test1132	roller_wear
test1133	outer_missing
test1134	inner_wear
test1135	inner_wear
test1136	inner_wear
test1137	inner_wear
test1138	outer_missing
test1139	normal
test1140	outer_missing
